ts,btc,eth,ltc,xrp,bch,doge,xlm,xmr,etc,ada,link,trx,dash,zec,eos,xem,dcr,xvg,btg,bsv,neo,xtz,algo,zrx,bat,rep,knc,omg,snx,mkr,comp,ftt
1285632000,0.0619038977206312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285718400,0.06191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285804800,0.0619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285891200,0.0619733138515488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285977600,0.0614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286064000,0.0610648684979544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286150400,0.0612944769140853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286236800,0.0614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286323200,0.06281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286409600,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286496000,0.0844531081239041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286582400,0.0938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286668800,0.0971462010520164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286755200,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286841600,0.0949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286928000,0.104865589129164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287014400,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287100800,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287187200,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287273600,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287360000,0.1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287446400,0.0975448918760959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287532800,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287619200,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287705600,0.1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287792000,0.104556424313267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287878400,0.11501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287964800,0.139118552893045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288051200,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288137600,0.1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288224000,0.1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288310400,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288396800,0.197610543541789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288483200,0.1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288569600,0.194525061367621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288656000,0.1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288742400,0.1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288828800,0.229275160724722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288915200,0.259112413793104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289001600,0.400982302746932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289088000,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289174400,0.243184628872005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289260800,0.217272694330801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289347200,0.229549731151373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289433600,0.2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289520000,0.2682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289606400,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289692800,0.27904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289779200,0.268464555815313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289865600,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289952000,0.241939333722969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290038400,0.269057790765634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290124800,0.27829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290211200,0.283015964932788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290297600,0.27675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290384000,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290470400,0.28295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290556800,0.282905736411455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290643200,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290729600,0.2844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290816000,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290902400,0.271358679135009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290988800,0.230559456458212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291075200,0.2082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291161600,0.2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291248000,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291334400,0.251060083576856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291420800,0.205000526008182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291507200,0.202850017533606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291593600,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291680000,0.233420385739334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291766400,0.2388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291852800,0.199991694330801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291939200,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292025600,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292112000,0.219853611922852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292198400,0.227605236703682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292284800,0.24669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292371200,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292457600,0.24996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292544000,0.242655815312683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292630400,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
