ts,btc,eth,ltc,xrp,bch,doge,xlm,xmr,etc,ada,link,trx
1291680000,0.233420385739334,,,,,,,,,,,
1291766400,0.2388,,,,,,,,,,,
1291852800,0.199991694330801,,,,,,,,,,,
1291939200,0.204,,,,,,,,,,,
1292025600,0.228,,,,,,,,,,,
1292112000,0.219853611922852,,,,,,,,,,,
1292198400,0.227605236703682,,,,,,,,,,,
1292284800,0.24669,,,,,,,,,,,
1292371200,0.24,,,,,,,,,,,
1292457600,0.24996,,,,,,,,,,,
1292544000,0.242655815312683,,,,,,,,,,,
1292630400,0.241,,,,,,,,,,,
1292716800,0.2401,,,,,,,,,,,
1292803200,0.267,,,,,,,,,,,
1292889600,0.241436002337814,,,,,,,,,,,
1292976000,0.25,,,,,,,,,,,
1293062400,0.249970127995324,,,,,,,,,,,
1293148800,0.248,,,,,,,,,,,
1293235200,0.2499,,,,,,,,,,,
1293321600,0.264962127410871,,,,,,,,,,,
1293408000,0.264785388661601,,,,,,,,,,,
1293494400,0.281,,,,,,,,,,,
1293580800,0.3,,,,,,,,,,,
1293667200,0.3,,,,,,,,,,,
1293753600,0.3,,,,,,,,,,,
1293840000,0.3,,,,,,,,,,,
1293926400,0.29997,,,,,,,,,,,
1294012800,0.295,,,,,,,,,,,
1294099200,0.29895,,,,,,,,,,,
1294185600,0.298916302162478,,,,,,,,,,,
1294272000,0.298,,,,,,,,,,,
1294358400,0.32,,,,,,,,,,,
1294444800,0.3229,,,,,,,,,,,
1294531200,0.323,,,,,,,,,,,
1294617600,0.32659,,,,,,,,,,,
1294704000,0.32659,,,,,,,,,,,
1294790400,0.318799621274109,,,,,,,,,,,
1294876800,0.3176,,,,,,,,,,,
1294963200,0.399990005844535,,,,,,,,,,,
1295049600,0.386,,,,,,,,,,,
1295136000,0.38679,,,,,,,,,,,
1295222400,0.3495,,,,,,,,,,,
1295308800,0.31299,,,,,,,,,,,
1295395200,0.31299,,,,,,,,,,,
1295481600,0.39,,,,,,,,,,,
1295568000,0.41991,,,,,,,,,,,
1295654400,0.44003552893045,,,,,,,,,,,
1295740800,0.4424,,,,,,,,,,,
1295827200,0.4199,,,,,,,,,,,
1295913600,0.41,,,,,,,,,,,
1296000000,0.415085129748685,,,,,,,,,,,
1296086400,0.4212,,,,,,,,,,,
1296172800,0.444484044418469,,,,,,,,,,,
1296259200,0.439,,,,,,,,,,,
1296345600,0.477142033898305,,,,,,,,,,,
1296432000,0.525136870251315,,,,,,,,,,,
1296518400,0.707510116890707,,,,,,,,,,,
1296604800,0.725434821741671,,,,,,,,,,,
1296691200,0.693898367621274,,,,,,,,,,,
1296777600,0.810958971361777,,,,,,,,,,,
1296864000,0.911671477498539,,,,,,,,,,,
1296950400,0.898,,,,,,,,,,,
1297036800,0.889421369959088,,,,,,,,,,,
1297123200,0.918,,,,,,,,,,,
1297209600,1.01605024547049,,,,,,,,,,,
1297296000,0.979652963179427,,,,,,,,,,,
1297382400,1.05406945353594,,,,,,,,,,,
1297468800,1.07870328404442,,,,,,,,,,,
1297555200,1.05,,,,,,,,,,,
1297641600,1.07001262419638,,,,,,,,,,,
1297728000,1.05,,,,,,,,,,,
1297814400,1.031687628872,,,,,,,,,,,
1297900800,1.0399231975453,,,,,,,,,,,
1297987200,0.898955914669784,,,,,,,,,,,
1298073600,0.944028116890707,,,,,,,,,,,
1298160000,0.865,,,,,,,,,,,
1298246400,0.835747428404442,,,,,,,,,,,
1298332800,0.877041779661017,,,,,,,,,,,
1298419200,0.9,,,,,,,,,,,
1298505600,0.989095265926359,,,,,,,,,,,
1298592000,0.914652001753361,,,,,,,,,,,
1298678400,0.958,,,,,,,,,,,
1298764800,0.895033114552893,,,,,,,,,,,
1298851200,0.860220923436587,,,,,,,,,,,
1298937600,0.921096891876096,,,,,,,,,,,
1299024000,0.9399,,,,,,,,,,,
1299110400,0.939073383401519,,,,,,,,,,,
1299196800,0.9011,,,,,,,,,,,
1299283200,0.90784060666277,,,,,,,,,,,
1299369600,0.884770973115138,,,,,,,,,,,
1299456000,0.877583864406779,,,,,,,,,,,
1299542400,0.866071591466979,,,,,,,,,,,
1299628800,0.86,,,,,,,,,,,
1299715200,0.920670309760374,,,,,,,,,,,
1299801600,0.88,,,,,,,,,,,
1299888000,0.917815513150205,,,,,,,,,,,
1299974400,0.89249,,,,,,,,,,,
1300060800,0.893924922852133,,,,,,,,,,,
1300147200,0.87224,,,,,,,,,,,
1300233600,0.851211665692578,,,,,,,,,,,
1300320000,0.82542,,,,,,,,,,,
1300406400,0.801959208065459,,,,,,,,,,,
1300492800,0.765,,,,,,,,,,,
1300579200,0.7415,,,,,,,,,,,
1300665600,0.75897,,,,,,,,,,,
1300752000,0.809130292811222,,,,,,,,,,,
1300838400,0.84971,,,,,,,,,,,
1300924800,0.872374365867914,,,,,,,,,,,
1301011200,0.88377,,,,,,,,,,,
1301097600,0.8552,,,,,,,,,,,
1301184000,0.822,,,,,,,,,,,
1301270400,0.794740500292227,,,,,,,,,,,
1301356800,0.792509941554646,,,,,,,,,,,
1301443200,0.789706312098189,,,,,,,,,,,
1301529600,0.78461,,,,,,,,,,,
1301616000,0.77411,,,,,,,,,,,
1301702400,0.78199,,,,,,,,,,,
1301788800,0.779,,,,,,,,,,,
1301875200,0.68,,,,,,,,,,,
1301961600,0.715691834599649,,,,,,,,,,,
1302048000,0.74,,,,,,,,,,,
1302134400,0.7538,,,,,,,,,,,
1302220800,0.74999,,,,,,,,,,,
1302307200,0.734060517241379,,,,,,,,,,,
1302393600,0.733156820572765,,,,,,,,,,,
1302480000,0.770113933372297,,,,,,,,,,,
1302566400,0.861381607831677,,,,,,,,,,,
1302652800,0.930320058445353,,,,,,,,,,,
1302739200,0.998629766218586,,,,,,,,,,,
