ts,open,high,low,close,volume,adract,mvrv,txcnt
1279411200,0.08584,0.08584,0.08584,0.08584,0.0,860.0,146.0383322,248.0
1279497600,0.0808,0.0808,0.0808,0.0808,0.0,929.0,62.56512971,334.0
1279584000,0.0747357288135593,0.0747357288135593,0.0747357288135593,0.0747357288135593,0.0,936.0,45.10663005,423.0
1279670400,0.0791928626534191,0.0791928626534191,0.0791928626534191,0.0791928626534191,0.0,784.0,38.35756046,247.0
1279756800,0.0584697603740503,0.0584697603740503,0.0584697603740503,0.0584697603740503,0.0,594.0,25.1323482,221.0
1279843200,0.0605928696668615,0.0605928696668615,0.0605928696668615,0.0605928696668615,0.0,655.0,23.1909876,220.0
1279929600,0.05454,0.05454,0.05454,0.05454,0.0,959.0,17.07191365,700.0
1280016000,0.050540618351841,0.050540618351841,0.050540618351841,0.050540618351841,0.0,2130.0,14.29480012,1591.0
1280102400,0.056,0.056,0.056,0.056,0.0,1250.0,12.57111018,227.0
1280188800,0.058622016364699,0.058622016364699,0.058622016364699,0.058622016364699,0.0,775.0,12.41061061,259.0
1280275200,0.0589110987726476,0.0589110987726476,0.0589110987726476,0.0589110987726476,0.0,664.0,11.86773641,2860.0
1280361600,0.0699,0.0699,0.0699,0.0699,0.0,534.0,13.54121185,619.0
1280448000,0.064657381648159,0.064657381648159,0.064657381648159,0.064657381648159,0.0,582.0,12.03290217,141.0
1280534400,0.0675457989479836,0.0675457989479836,0.0675457989479836,0.0675457989479836,0.0,479.0,12.05286591,94.0
1280620800,0.0611,0.0611,0.0611,0.0611,0.0,622.0,10.44892297,124.0
1280707200,0.06,0.06,0.06,0.06,0.0,632.0,9.9762043,155.0
1280793600,0.0600121507890123,0.0600121507890123,0.0600121507890123,0.0600121507890123,0.0,988.0,9.60461264,424.0
1280880000,0.0570157802454705,0.0570157802454705,0.0570157802454705,0.0570157802454705,0.0,715.0,8.82883787,193.0
1280966400,0.061,0.061,0.061,0.061,0.0,825.0,9.19506028,301.0
1281052800,0.0616713150204559,0.0616713150204559,0.0616713150204559,0.0616713150204559,0.0,640.0,9.02581206,213.0
1281139200,0.0590039450613676,0.0590039450613676,0.0590039450613676,0.0590039450613676,0.0,500.0,8.42875731,113.0
1281225600,0.0609,0.0609,0.0609,0.0609,0.0,581.0,8.47702357,191.0
1281312000,0.0704,0.0704,0.0704,0.0704,0.0,782.0,9.28085443,235.0
1281398400,0.0693387288135593,0.0693387288135593,0.0693387288135593,0.0693387288135593,0.0,590.0,8.88387323,151.0
1281484800,0.067,0.067,0.067,0.067,0.0,724.0,8.33793184,184.0
1281571200,0.07,0.07,0.07,0.07,0.0,611.0,8.49787609,220.0
1281657600,0.0645,0.0645,0.0645,0.0645,0.0,787.0,7.56762836,247.0
1281744000,0.0669964336645237,0.0669964336645237,0.0669964336645237,0.0669964336645237,0.0,564.0,7.65189676,156.0
1281830400,0.0651179322033898,0.0651179322033898,0.0651179322033898,0.0651179322033898,0.0,472.0,7.26649664,130.0
1281916800,0.0655,0.0655,0.0655,0.0655,0.0,760.0,7.13837504,298.0
1282003200,0.07,0.07,0.07,0.07,0.0,486.0,7.50985867,188.0
1282089600,0.068,0.068,0.068,0.068,0.0,709.0,7.14796434,231.0
1282176000,0.0667,0.0667,0.0667,0.0667,0.0,471.0,6.93168437,190.0
1282262400,0.0655,0.0655,0.0655,0.0655,0.0,656.0,6.69412905,230.0
1282348800,0.0664,0.0664,0.0664,0.0664,0.0,526.0,6.61775626,168.0
1282435200,0.0659289888953828,0.0659289888953828,0.0659289888953828,0.0659289888953828,0.0,586.0,6.41568722,153.0
1282521600,0.06491,0.06491,0.06491,0.06491,0.0,655.0,6.22495622,157.0
1282608000,0.065,0.065,0.065,0.065,0.0,638.0,6.13247009,166.0
1282694400,0.0648,0.0648,0.0648,0.0648,0.0,498.0,6.02386076,149.0
1282780800,0.0640751139684395,0.0640751139684395,0.0640751139684395,0.0640751139684395,0.0,650.0,5.87469011,158.0
1282867200,0.065,0.065,0.065,0.065,0.0,490.0,5.87209239,121.0
1282953600,0.0646,0.0646,0.0646,0.0646,0.0,531.0,5.77497614,170.0
1283040000,0.064,0.064,0.064,0.064,0.0,418.0,5.66272908,111.0
1283126400,0.06497,0.06497,0.06497,0.06497,0.0,517.0,5.69050244,175.0
1283212800,0.06,0.06,0.06,0.06,0.0,733.0,5.19159819,254.0
1283299200,0.0620248275862069,0.0620248275862069,0.0620248275862069,0.0620248275862069,0.0,622.0,5.31891315,235.0
1283385600,0.0634,0.0634,0.0634,0.0634,0.0,513.0,5.38522542,146.0
1283472000,0.06085,0.06085,0.06085,0.06085,0.0,503.0,5.12179597,155.0
1283558400,0.062178275862069,0.062178275862069,0.062178275862069,0.062178275862069,0.0,468.0,5.18235949,96.0
1283644800,0.06165,0.06165,0.06165,0.06165,0.0,534.0,5.06897347,143.0
1283731200,0.0616,0.0616,0.0616,0.0616,0.0,518.0,5.03207272,125.0
1283817600,0.0612391180596142,0.0612391180596142,0.0612391180596142,0.0612391180596142,0.0,408.0,4.94816313,120.0
1283904000,0.061,0.061,0.061,0.061,0.0,535.0,4.88836125,174.0
1283990400,0.0611149707773232,0.0611149707773232,0.0611149707773232,0.0611149707773232,0.0,530.0,4.79545778,204.0
